         203,       -1191
         202,        -434
         201,         976
         201,         917
         201,        -522
         201,       -1175
         200,         -58
         199,        1146
         199,         625
         200,        -837
         200,       -1039
         199,         323
         198,        1199
         198,         269
         199,       -1066
         198,        -796
         197,         672
         197,        1129
         197,        -114
         198,       -1185
         197,        -471
         196,         952
         196,         942
         197,        -486
         197,       -1183
         196,         -97
         196,        1134
         196,         658
         197,        -809
         197,       -1058
         196,         285
         196,        1199
         196,         307
         197,       -1047
         197,        -825
         196,         639
         196,        1141
         197,         -75
         197,       -1179
         197,        -507
         197,         928
         197,         966
         198,        -450
         198,       -1189
         198,        -137
         198,        1121
         198,         691
         199,        -779
         200,       -1076
         199,         247
         199,        1198
         200,         345
         201,       -1028
         201,        -853
         201,         605
         201,        1153
         201,         -35
         202,       -1171
         202,        -543
         202,         902
         202,         989
         203,        -413
         203,       -1193
         203,        -176
         203,        1106
         203,         723
         204,        -748
         204,       -1093
         204,         208
         203,        1196
         204,         383
         205,       -1007
         205,        -881
         204,         571
         204,        1163
         205,           3
         206,       -1161
         205,        -578
         205,         876
         205,        1011
         205,        -376
         206,       -1197
         205,        -215
         204,        1090
         204,         754
         205,        -717
         205,       -1109
         204,         169
         204,        1192
         204,         420
         205,        -985
         205,        -907
         204,         536
         203,        1172
         204,          43
         204,       -1151
         204,        -612
         203,         848
         202,        1031
         203,        -338
         204,       -1199
         203,        -254
         202,        1073
         202,         785
         202,        -685
         202,       -1123
         201,         129
         201,        1188
         201,         457
         201,        -961
         201,        -932
         200,         500
         200,        1180
         200,          82
         201,       -1139
         200,        -646
         199,         820
         199,        1051
         199,        -300
         200,       -1199
         199,        -292
         198,        1055
         198,         814
         199,        -652
         199,       -1137
         198,          90
         198,        1181
         198,         493
         199,        -937
         198,        -957
         198,         464
         197,        1186
         198,         122
         198,       -1126
         198,        -679
         197,         790
         197,        1070
         198,        -261
         198,       -1199
         198,        -331
         197,        1035
         198,         843
         198,        -618
         199,       -1149
         198,          50
         198,        1174
         199,         529
         200,        -912
         200,        -980
         199,         427
         199,        1192
         200,         161
         201,       -1112
         201,        -711
         201,         760
         201,        1087
         202,        -223
         203,       -1197
         202,        -369
         202,        1015
         202,         870
         203,        -584
         204,       -1159
         203,          11
         203,        1165
         203,         564
         204,        -886
         204,       -1002
         204,         390
         204,        1195
         204,         200
         205,       -1096
         205,        -742
         204,         729
         204,        1103
         205,        -183
         206,       -1194
         205,        -406
         205,         993
         205,         897
         205,        -549
         206,       -1169
         205,         -28
         204,        1155
         204,         599
         205,        -859
         205,       -1024
         204,         352
         203,        1198
         204,         239
         204,       -1080
         204,        -773
         203,         697
         202,        1118
         202,        -144
         203,       -1190
         202,        -443
         201,         970
         201,         923
         201,        -514
         201,       -1177
         201,         -67
         200,        1144
         200,         633
         201,        -831
         200,       -1044
         200,         314
         199,        1199
         199,         278
         200,       -1062
         200,        -803
         199,         665
         198,        1132
         199,        -105
         199,       -1184
         199,        -480
         198,         947
         198,         948
         198,        -478
         199,       -1184
         198,        -107
         197,        1131
         198,         666
         198,        -802
         198,       -1063
         198,         276
         197,        1199
         198,         316
         199,       -1043
         199,        -832
         198,         631
         198,        1144
         198,         -65
         199,       -1177
         199,        -516
         198,         922
         198,         971
         199,        -441
         199,       -1190
         199,        -146
         199,        1117
         199,         699
         200,        -772
         200,       -1080
         200,         237
         200,        1198
         200,         354
         201,       -1023
         201,        -860
         201,         597
         201,        1155
         201,         -26
         202,       -1169
         202,        -551
         201,         896
         201,         994
         202,        -404
         203,       -1194
         202,        -185
         202,        1102
         202,         731
         203,        -741
         203,       -1097
         202,         198
         202,        1195
         202,         392
         203,       -1001
         203,        -887
         202,         563
         202,        1165
         203,          13
         203,       -1159
         203,        -586
         202,         869
         202,        1016
         203,        -367
         203,       -1197
         202,        -224
         201,        1086
         202,         762
         202,        -709
         202,       -1112
         201,         159
         201,        1191
         201,         429
         202,        -979
         202,        -913
         201,         527
         200,        1174
         201,          52
         202,       -1148
         201,        -620
         200,         841
         200,        1036
         201,        -329
         201,       -1199
         201,        -263
         200,        1069
         200,         792
         201,        -677
         201,       -1127
         201,         120
