1	0.983878323	-10.15233062
2	0.957567731	-18.77540467
3	0.917625371	-26.92989654
4	0.870089184	-34.46121377
5	0.819078468	-41.37398
6	0.767439402	-47.63495992
7	0.71780984	-53.29159563
8	0.67087696	-58.41480906
9	0.627628558	-63.02459303
10	0.587824246	-67.25495513
11	0.55154816	-71.1659305
12	0.518710499	-74.76579667
13	0.488911208	-78.12814527
14	0.461721478	-81.30985655
15	0.436828048	-84.28577178
16	0.414634646	-87.15252295
17	0.394035491	-89.87617646
18	0.375157935	-92.46557125
19	0.357067063	-95.04702799
20	0.341154113	-97.59965168
21	0.325158942	-100.1363874
22	0.308032451	-102.540518
23	0.291032801	-104.0729682
24	0.279374127	-105.1282692
25	0.270883606	-106.525576
26	0.263401532	-108.1605008
27	0.256022028	-110.1061814
28	0.249100336	-112.1298642
29	0.241446314	-114.150552
30	0.234545049	-116.1142196
31	0.227665325	-118.1055421
32	0.220412899	-120.0653093
33	0.214728898	-122.0031985
34	0.208952688	-124.0072755
35	0.202833335	-125.9232375
36	0.19702709	-127.799675
37	0.191093547	-129.5938259
38	0.185939693	-131.3691577
39	0.180956772	-133.024444
40	0.176512509	-134.7930336
41	0.172054901	-136.4941461
42	0.167800014	-138.3047011
43	0.163522597	-140.0031666
44	0.159216908	-141.6438948
45	0.15543133	-143.492662
46	0.151761129	-145.3018115
47	0.147841249	-147.0094584
48	0.144227916	-148.7784797
49	0.140809243	-150.5446282
50	0.137486678	-152.2200264
51	0.134211394	-153.8606398
52	0.131023843	-155.6192467
53	0.127857693	-157.3360224
54	0.124760022	-159.1284062
55	0.121679058	-160.7855706
56	0.118689508	-162.3600344
57	0.115953332	-164.0727873
58	0.113199612	-165.6470735
59	0.110511306	-167.1557457
60	0.108090838	-168.9837847
61	0.105274855	-170.438385
62	0.102794913	-171.9872201
63	0.100285708	-173.7072818
64	0.09782533	-175.2657681
65	0.095463675	-176.8043872
66	0.093264095	-178.3849404
67	0.091047278	-179.9819781
68	0.08892988	-181.4300159
69	0.086877271	-182.9552422
70	0.085023064	-184.5079355
72	0.080833649	-187.3578451
77	0.071384692	-194.6389972
80	0.066662134	-198.8877184
82	0.063469938	-201.4469756
85	0.059314645	-205.5306273
87	0.05631506	-207.9332665
90	0.052473092	-211.6166538
92	0.049963483	-214.1300972
95	0.047016574	-217.336607
97	0.045115683	-219.3432599
100	0.043148843	-223.8917379
102	0.04149642	-227.9906643
105	0.03610367	-231.4467974
107	0.034018016	-232.6884139
110	0.031487817	-234.9328165
112	0.030290007	-236.5517605
117	0.026914386	-240.3260447
120	0.025423919	-242.3378927
122	0.024228677	-243.5970918
127	0.021981043	-247.4076986
130	0.021106646	-249.2587791
132	0.020115334	-250.0234745
135	0.019479842	-251.7447245
137	0.019210506	-252.9167711
140	0.018522874	-256.0076153
142	0.018202401	-258.5679414
145	0.017166309	-261.9503085
147	0.016639612	-264.0154305
150	0.015613192	-266.5829301
152	0.0150896	-268.2072275
155	0.014128532	-270.2067336
157	0.013842445	-271.6051658
160	0.012919354	-273.6337336
162	0.012974732	-275.4272889
167	0.011976437	-279.3470164
170	0.011228076	-281.389586
172	0.011064064	-282.9640451
177	0.010240673	-286.3321492
180	0.009551889	-287.9646543
182	0.009492265	-289.2635923
187	0.008930226	-292.5519961
190	0.007949409	-293.9758481
192	0.008319604	-295.8244165
197	0.007758863	-298.971427
205	0.00699833	-303.7289024
210	0.006167076	-305.6952575
215	0.006178406	-309.4203794
225	0.005470969	-315.1335787
230	0.005116459	-317.5844382
235	0.004902472	-320.4171048
245	0.004405117	-326.0122068
255	0.003961364	-331.3120677
260	0.003494403	-333.2879031
265	0.0036168	-336.8238081
275	0.003308964	-342.405431
285	0.003089274	-348.269129
295	0.002973171	-355.6019742
300	0.002708827	-362.4660849
305	0.002868207	-389.8493711
315	0.001238088	-380.9425201
325	0.001279859	-363.5871961
335	0.001339376	-361.5095961
345	0.001452361	-367.3601479
350	0.001351583	-370.1472928
355	0.001304994	-370.2085026
365	0.001218957	-371.356402
375	0.001199604	-371.3169115
385	0.001247312	-373.4753804
395	0.001288653	-379.193535
400	0.001256682	-384.8943636
405	0.001297341	-387.0219553
415	0.001232682	-393.4484468
425	0.00118191	-399.5567669
435	0.001135121	-405.5335033
445	0.001069039	-411.3172576
450	0.000940106	-412.1714497
455	0.001006645	-416.5732772
465	0.000957117	-421.0152106
475	0.000912418	-425.7366147
485	0.000878116	-429.6432228
495	0.000851441	-433.9138386
500	0.000760822	-436.1111099
505	0.00083361	-438.0293276
510	0.000821761	-440.4151148
525	0.000802217	-447.6508186
540	0.00079084	-456.2821675
555	0.000763926	-465.3979508
570	0.000730375	-474.8856448
585	0.000691346	-483.3455195
600	0.000673798	-493.172448
615	0.000673826	-504.511406
630	0.000534063	-541.7004148
645	0.000232649	-548.6786126
650	0.00080318	-494.2996791
660	0.000122323	-467.1078175
675	0.001209827	-500.8774935
690	0.001204545	-510.7149584
700	0.001148903	-517.3997536
705	0.001132669	-520.0450267
720	0.001080832	-534.4271223
735	0.000994139	-547.0974988
750	0.000935825	-559.1649125
765	0.000844338	-570.6640482
780	0.000794878	-580.3775477
795	0.000741852	-591.8770462
800	0.000630439	-596.6617879
810	0.000684348	-602.3032511
825	0.000657416	-611.1222277
840	0.000628506	-620.7411451
850	0.000516061	-625.7247613
855	0.000597861	-629.2852851
870	0.000579252	-637.5043544
885	0.000565442	-645.5190642
900	0.000561194	-654.4381012
915	0.000555036	-662.9815659
930	0.000555709	-671.4387691
945	0.000556739	-679.6951272
